Filename,190301_ALB_P2R2G_homo_water.clklb,,,,,,,,,,,,,,,,,,,,,,,,
Start Day,1  01-03-19,,,,,,,,,,,,,,,,,,,,,,,,
End Day,24  24-03-19,,,,,,,,,,,,,,,,,,,,,,,,
Start Hr,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Tau,24.00,,,,,,,,,,,,,,,,,,,,,,,,
Bin (mn),1.00,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Min / Day,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000
24.00,NaN,26.00,0.00,0.00,0.00,69.00,47.00,10.00,35.00,76.00,2.00,125.00,78.00,49.00,3.00,6.00,0.00,0.00,60.00,0.00,6.00,122.00,8.00,83.00,95.00
25.00,NaN,75.00,58.00,5.00,1.00,86.00,112.00,9.00,132.00,40.00,2.00,85.00,81.00,136.00,0.00,6.00,37.00,24.00,45.00,12.00,0.00,101.00,3.00,49.00,36.00
26.00,NaN,69.00,58.00,47.00,21.00,52.00,76.00,22.00,55.00,107.00,27.00,0.00,38.00,69.00,15.00,19.00,60.00,47.00,81.00,85.00,10.00,90.00,1.00,133.00,40.00
27.00,NaN,55.00,0.00,27.00,61.00,148.00,65.00,50.00,76.00,72.00,27.00,98.00,118.00,10.00,29.00,35.00,44.00,67.00,44.00,42.00,1.00,84.00,11.00,11.00,34.00
28.00,NaN,76.00,96.00,87.00,23.00,85.00,67.00,31.00,57.00,82.00,28.00,73.00,91.00,1.00,67.00,2.00,70.00,52.00,121.00,13.00,0.00,46.00,8.00,0.00,38.00
29.00,NaN,31.00,53.00,33.00,41.00,88.00,37.00,32.00,38.00,59.00,90.00,80.00,87.00,1.00,30.00,78.00,27.00,37.00,86.00,65.00,10.00,131.00,0.00,0.00,77.00
30.00,NaN,111.00,62.00,63.00,12.00,70.00,104.00,106.00,121.00,28.00,71.00,33.00,108.00,109.00,79.00,88.00,15.00,85.00,86.00,34.00,8.00,86.00,5.00,0.00,43.00
31.00,NaN,65.00,68.00,64.00,42.00,44.00,38.00,78.00,89.00,92.00,87.00,4.00,44.00,108.00,2.00,23.00,4.00,41.00,74.00,115.00,6.00,83.00,83.00,32.00,131.00
32.00,NaN,61.00,34.00,34.00,65.00,129.00,19.00,89.00,75.00,86.00,73.00,21.00,118.00,77.00,21.00,10.00,4.00,66.00,36.00,70.00,33.00,86.00,94.00,4.00,73.00
33.00,NaN,58.00,102.00,108.00,48.00,108.00,56.00,75.00,86.00,71.00,44.00,37.00,45.00,41.00,22.00,0.00,30.00,48.00,56.00,35.00,37.00,42.00,105.00,30.00,86.00
34.00,NaN,26.00,1.00,1.00,0.00,97.00,26.00,18.00,19.00,84.00,18.00,18.00,44.00,46.00,4.00,36.00,26.00,4.00,3.00,4.00,122.00,99.00,121.00,80.00,79.00
35.00,NaN,87.00,0.00,9.00,0.00,96.00,88.00,6.00,4.00,41.00,0.00,86.00,125.00,99.00,13.00,14.00,13.00,7.00,44.00,5.00,79.00,31.00,54.00,50.00,44.00
36.00,NaN,38.00,23.00,56.00,6.00,44.00,38.00,19.00,27.00,117.00,0.00,53.00,43.00,14.00,8.00,8.00,19.00,39.00,50.00,73.00,0.00,96.00,132.00,121.00,127.00
37.00,NaN,20.00,32.00,28.00,20.00,171.00,91.00,38.00,62.00,74.00,35.00,105.00,80.00,6.00,7.00,16.00,21.00,45.00,36.00,41.00,92.00,87.00,68.00,20.00,94.00
38.00,NaN,16.00,100.00,100.00,56.00,87.00,89.00,51.00,68.00,76.00,18.00,86.00,82.00,3.00,23.00,40.00,75.00,49.00,84.00,35.00,82.00,49.00,30.00,15.00,81.00
39.00,NaN,5.00,68.00,84.00,62.00,96.00,45.00,48.00,41.00,65.00,32.00,65.00,41.00,1.00,2.00,60.00,6.00,33.00,60.00,76.00,68.00,94.00,41.00,2.00,86.00
40.00,NaN,30.00,74.00,65.00,34.00,99.00,136.00,83.00,105.00,35.00,66.00,67.00,36.00,3.00,43.00,2.00,40.00,112.00,77.00,34.00,60.00,69.00,15.00,0.00,34.00
41.00,NaN,26.00,62.00,57.00,103.00,53.00,63.00,52.00,72.00,99.00,43.00,39.00,29.00,15.00,15.00,0.00,38.00,60.00,79.00,113.00,27.00,81.00,75.00,19.00,138.00
42.00,NaN,42.00,34.00,30.00,64.00,123.00,85.00,51.00,76.00,65.00,63.00,143.00,11.00,25.00,4.00,9.00,18.00,60.00,33.00,70.00,123.00,36.00,28.00,53.00,91.00
